key,text,english,notes,tag,checked,checked_by,date,google,chatgpt,gemini,claude,bing
revival_le_dynasty,1533-1789,1533-1789, ,timespan,True,,,,,,,
nguyen_dynasty,1802 – 1883,1802 – 1883, ,timespan,True,,,,,,,
edo,1603 – 1868,1603 – 1868, ,timespan,True,,,,,,,
meiji,1868 – 1912,1868 – 1912, ,timespan,True,,,,,,,
Julius,ជូលីស,Julius, ,wiki,False,,,,,,,
Caligula,កាលីហ្គូឡា,Caligula, ,wiki,False,,,,,,,
Nero,នីរ៉ូ,Nero, ,wiki,False,,,,,,,
Galba-Otho-Vitellius,"ហ្គាបា, អូតូ និង វីតាលីស (ឆ្នាំនៃអធិរាជទាំងបួន)","Galba, Otho and Vitellius (Year of the Four Emperors)", ,wiki,False,,,,,,,
Vespasian,វេស្ប៉ាសៀន,Vespasian, ,wiki,False,,,,,,,
covid19,កូវីដ-19,Covid-19, ,wiki,False,,,,,,,
nicaea1,ក្រុមប្រឹក្សាទីមួយនៃនីកា,First Council of Nicaea, ,wiki,False,,,,,,,
oxyrhynchus,អាល់បាណាសា ផងដែរ។,Oxyrhynchus Papyri, ,wiki,False,,,,,,,
p52,ផងដែរ។ P52,Papyrus P52, ,wiki,False,,,,,,,
qing-dynasty_c,រាជវង្សឈីង,Qing dynasty,1636-1912,wiki,False,,,,,,,
ming-dynasty_c,រាជវង្ស មីង នៅ​ចក្រភព​ចិន,Ming dynasty in imperial China,1368-1644,wiki,False,,,,,,,
yuan-dynasty_c,យន់,Yuan,1271-1368,wiki,False,,,,,,,
southern-song_c,ចម្រៀងភាគខាងត្បូង,Southern Song,1127-1279,wiki,False,,,,,,,
northern-song_c,ចម្រៀងខាងជើង,Northern Song,960-1127,wiki,False,,,,,,,
western-xia_c,សៀខាងលិច,Western Xia,1038-1227,wiki,False,,,,,,,
Copernicus,នីកូឡាស កូពែរនិច,Nicolaus Copernicus, ,wiki,False,,,,,,,
Galileo,កាលីឡេអូ ហ្គាលីលី,Galileo Galilei,Galileo di Vincenzo Bonaiuti de' Galilei,wiki,False,,,,,,,
Newton,អ៊ីសាក ញូតុន,Isaac Newton, ,wiki,False,,,,,,,
shang-dynasty_c,រាជវង្ស ស៊ាង,Shang dynasty,c. 1600-1046 BC,wiki,False,,,,,,,
western-zhou_c,ចូវខាងលិច,Western Zhou,c. 1046-771 BC,wiki,False,,,,,,,
eastern-zhou_c,ចូវខាងកើត,Eastern Zhou,770-256 BC,wiki,False,,,,,,,
western-han_c,ហានខាងលិច,Western Han,207 BC – 9 CE,wiki,False,,,,,,,
eastern-han_c,ហានខាងកើត,Eastern Han,25-220 CE,wiki,False,,,,,,,
three-kingdoms_c,ចិន,China,Three kingdoms 220-280 CE,wiki,False,,,,,,,
sixteen-kingdoms_c,ចិន,China,Sixteen kingdoms 304-439 CE,wiki,False,,,,,,,
northern-dynasties_c,រាជវង្សខាងជើង,Northern dynasties,368-581 CE,wiki,False,,,,,,,
southern-dynasties_c,រាជវង្សខាងត្បូង,Southern dynasties,420-589 CE,wiki,False,,,,,,,
tang-dynasty2_c,រាជវង្សថាង,Tang dynasty,"618-690, 705-907",wiki,False,,,,,,,
byzantine_empire_c,ចក្រភព ប៊ីហ្សីនទីន,Byzantine Empire, ,wiki,False,,,,,,,
ottoman_empire_c,ចក្រភពអូតូម៉ង់,Ottoman Empire, ,wiki,False,,,,,,,
Genghis,ជេនហ្គិស ខាន់,Genghis Khan, ,wiki,False,,,,,,,
inca_empire_c,អាណាចក្រ Inca,Inca empire, ,wiki,False,,,,,,,
gupta_empire_c,ចក្រភព ហ្គូតា,Gupta Empire, ,wiki,False,,,,,,,
Teotihuacan_c,Teotihuacan,Teotihuacan, ,wiki,False,,,,,,,
Abbasid_c,Abbasid Caliphate,Abbasid Caliphate, ,wiki,False,,,,,,,
Mamluk_c,ម៉មលូកស៊ុលតង់,Mamluk Sultanate, ,wiki,False,,,,,,,
Al-Ghazali,អាល់ហ្គាហ្សាលី,Al-Ghazali,2024-06-19,wiki,False,,,,,,,
wulfila, ,Wulfila Bible,2025-09-20,wiki,False,,,,,,,
tran_dynasty_c, ,Trần dynasty, ,wiki,False,,,,,,,
le_dynasty_c, ,Lê dynasty, ,wiki,False,,,,,,,
revival_le_dynasty_c, ,Trịnh lords and Nguyễn lords,"Nhà Lê trung hưng, Revival Lê dynasty",wiki,False,,,,,,,
seljuk_empire_c, ,Seljuk empire, ,wiki,False,,,,,,,
vandals_c, ,Vandals, ,wiki,False,,,,,,,
lombard_c, ,Lombard Kingdom,2025-10-13,wiki,False,,,,,,,
people,មនុស្ស,people, ,deprecated,False,,,,,,,
judges,ចៅក្រម,judges, ,deprecated,False,,,,,,,
prophets,ហោរា,prophets, ,deprecated,False,,,,,,,
kings,ស្តេច,kings, ,deprecated,False,,,,,,,
periods,រយៈពេល,periods, ,deprecated,False,,,,,,,
events,ព្រឹត្តិការណ៍,events, ,deprecated,False,,,,,,,
objects,វត្ថុឬវត្ថុ,objects or items, ,deprecated,False,,,,,,,
event_destruction_samaria2,740 មុនគ.ស. ដោយ អាស្ស៊ីរី,740 B.C.E. by Assyria,was shortened here for 2 lines,deprecated,False,,,,,,,
photodrama,ល្ខោនរូបថតនៃការបង្កើត ត្រូវបានបង្ហាញជាលើកដំបូងនៅញូវយ៉កនៅថ្ងៃទី 11 ខែមករាឆ្នាំ 1914 ។,"The “Photo-Drama of Creation” is first shown in New York on January 11, 1914", ,deprecated,False,,,,,,,
truth_book,"សៀវភៅ ""សេចក្តីពិតដែលនាំទៅរកជីវិតអស់កល្បជានិច្ច"" ចេញផ្សាយឆ្នាំ 1968",The book “The Truth That Leads to Eternal Life” is released 1968, ,deprecated,False,,,,,,,
jw_broadcasting,ការផ្សាយ jw.broadcast នៅខែតុលា ឆ្នាំ 2014,Start of JW Broadcasting® in October 2014, ,deprecated,False,,,,,,,
meeting_workbook,"ទម្រង់ថ្មីនៃកិច្ចប្រជុំពាក់កណ្តាលសប្តាហ៍ជាមួយ ""សៀវភៅការងារ"" ដែលចាប់ផ្តើមពីខែមករា ឆ្នាំ 2016",New format of midweek meeting with “Meeting Workbook” starting January 2016, ,deprecated,False,,,,,,,
terahfam,សមាជិកនៃគ្រួសាររបស់ Terah,Members of Terah’s family, ,deprecated,False,,,,,,,
metropolitan,ការ​ចាប់​ផ្តើ​ម​នៃ​ការ​ធ្វើ​ជា​សាក្សី​ទី​ក្រុង​នៅ​ក្នុង 2011,Start of metropolitan witnessing in 2011, ,deprecated,False,,,,,,,
jw_org,ការចាប់ផ្តើមនៃ JW.ORG ជាមួយនឹងការណែនាំក្នុងកិច្ចបម្រើផ្សាយរបស់ព្រះរាជាណាចក្រ ខែធ្នូ ឆ្នាំ 2012,Start of JW.ORG with instructions in Kingdom Ministry December 2012, ,deprecated,False,,,,,,,
Babylon2, , ,no text left and right – empty!,deprecated,False,,,,,,,
daniel2_shift,0,0,Start 4.2,deprecated,False,,,,,,,
Gatam,កាថាម,Gatam, ,deprecated,False,,,,,,,
Adbeel,អាតបៀល,Adbeel, ,deprecated,False,,,,,,,
Mibsam,មីបសាម,Mibsam, ,deprecated,False,,,,,,,
Dumah,ឌូម៉ា,Dumah, ,deprecated,False,,,,,,,
Massa,ម៉ាសា,Massa, ,deprecated,False,,,,,,,
tang-dynasty1, , , ,deprecated,False,,,,,,,
xia-dynasty,រាជវង្ស Xia នៅប្រទេសចិន គ. 2070 – គ. 1600 មុនគ,Xia dynasty in China c. 2070 – c. 1600 BC, ,deprecated,False,,,,,,,
Midianites, ,"1) Midianites: Numbers 31:2, 3", ,deprecated,False,,,,,,,
Moabites, ,"2) Moabites: Deuteronomy 23:3, 4", ,deprecated,False,,,,,,,
Ammonites, ,3) Ammonites: Joshua 12:2, ,deprecated,False,,,,,,,
Edomites, ,4) Edomites: Numbers 20:14-17, ,deprecated,False,,,,,,,
Temanites, ,5) Temanites: Job 42:7, ,deprecated,False,,,,,,,
Amalekites, ,6) Amalekites: 1 Samuel 15:2,2024-09-29,deprecated,False,,,,,,,
king_south_light, , ,2025-02-05,deprecated,False,,,,,,,
king_north_light, , ,2025-02-05,deprecated,False,,,,,,,
daniel2_iron, , ,2025-02-05,deprecated,False,,,,,,,
